"ProjectID","ProjectName","ShortName","Country","State","Region","City","County","LatitudeDegrees","LatitudeMinutes","LatitudeSeconds","LatitudeDirection","LongitudeDegrees","LongitudeMinutes","LongitudeSeconds","LongitudeDirection","Technology","Status","StatusDate","PPADateMonth","PPADateDay","PPADateYear","FeedInTariffType","TariffRate","TariffRateUnit","TariffYears","TariffInfo","BreakGroundMonth","BreakGroundDay","BreakGroundYear","ProductionStartMonth","ProductionStartDay","ProductionStartYear","SiteSolarResource","SiteSolarResourceDataSource","ProjectType","Cost","CostCurrency","CostInfoSource","ElectricityGeneration","ElectricityGenerationBasis","ElectricityGenerationExplanation","ContactCompany","ContactWebSite","Contact1","Contact1Email","ContactCompany2","ContactWebSite2","Contact2","Contact2Email","ConstructionJobYears","AnnualOperationsJobs","Developer1","Developer2","Operator1","Operator2","EPCContractor","EPCContractorTask","LandArea","LandAreaUnits","DriveManufacturer1","DriveManufacturer2","HeatTransferFluidType","HeatTransferFluidCompany","GrossTurbineCapacity","NetCapacity","OtherTurbineCapacity","CapacityUnit","TurbineThermodynamicCycleType","PowerCyclePressure","PowerCyclePressureUnits","TurbineSupplier","TurbineSupplierCountry","CoolingMethod","CoolingMethodDescription","TurbineEfficiency","DesignPointSolarElectricEfficiency","DesignPointConditions","AnnualSolarElectricEfficiency","BackupType","BackupPercent","StorageType","StorageCapacity","StorageCapacityUnit","StorageDescription","LongDescription","Photo","AltText","Caption","Credit","PublishStatus"
"13","Termesol 50","Valle 2","ES","  ","Cádiz","San José del Valle","","36","39","40.0","North","5","50","50.0","West","Parabolic trough","Operational","2017/03/20","January","1","2010","","","","","","May","1","2009","December","","2011","2097","","","270000000","Euro","Torresol","175000","Expected","","Torresol","http://www.torresolenergy.com","Juan Ignacio Burgaleta","ignacio.burgaleta@torresolenergy.com","","","","","900","45","Torresol","","Torresol","","UTE Valle 2","","230","hectares","","","Diphenyl/Diphenyl Oxide","","49.9","49.9","","MW","Steam Rankine","100.0","bar","","","Wet cooling","","38.1","","","","","","2-tank indirect","7.5","hour(s)","28,500 tons of molten salt. 60% sodium nitrate, 40% potassium nitrate.","This page provides information on Vallesol 50, a concentrating solar power (CSP) project, with data organized by background, participants, and power plant configuration.","","","","","Published"
"14","Extresol-3","EX-3","ES","  ","Badajoz","Torre de Miguel Sesmero","","38","39","","North","6","44","","West","Parabolic trough","Operational","2017/03/20","","","","Real Decreto 661/2007","27.0","Euro cents per kWh","25","","May","8","2009","August","1","2012","2168","Meteo Station","Commercial","","Euro","","158000","Expected/Planned","","ACS/Cobra Group","http://www.grupocobra.com","Manuel Cortes","mcortes@grupocobra.com","","","Ana Salazar","amsalazar@grupocobra.com","600","40","ACS/Cobra Group","","Cobra O&M","","Cobra Instalaciones y Servicios","","200","hectares","","","Diphenyl/Biphenyl oxide","","50.0","50.0","","MW","","100.0","bar","Siemens","Germany","Wet cooling","Cooling towers","38.1","","","16","","","2-tank indirect","7.5","hour(s)","28,500 tons of molten salt. 60% sodium nitrate, 40% potassium nitrate. 1,010 MWh. Tanks are 14 m high and 36 m in diameter.","This page provides information on Extresol-3, a concentrating solar power (CSP) project, with data organized by background, participants, and power plant configuration.","","","","","Published"
"16","Palma del Río I","","ES","  ","Córdoba","Palma del Río","","37","38","42.0","North","5","15","29.0","West","Parabolic trough","Operational","2013/03/18","","","","RD 661/2007","27.0","Euro cents per kWh","25","","June","","2009","July","","2011","2291","","","","","","114500","Estimated","","Acciona Energía","http://www.acciona-energia.es","Asun Padrós","mpadros@acciona.es","","","","","350","31","Acciona Energía","","Acciona Energía","","Acciona Energía","","135","hectares","","","Biphenyl/Diphenyl oxide","","50.0","50.0","","MW","Steam Rankine","","","","","Wet cooling","","","","","","","","None","","","","This page provides information on Palma del Río I, a concentrating solar power (CSP) project, with data organized by background, participants, and power plant configuration.","","","","","Published"
"17","Lebrija 1","LE-1","ES","  ","Sevilla","Lebrija","","37","0","10.8","North","6","2","52.0","West","Parabolic trough","Operational","2017/03/20","","","","","27.0","Euro cents per kWh","25","","November","","2008","December","27","2011","1992.7","","","","Euro","","120000","Expected/Planned","","Soleval","","Carlos Cachadiña","carlosc@solel.com","","","José Ramón Colomina","jrcolomina@gruposyv.es","500","","Solucia Renovables 1, S.L.","","Soleval Renovables, S.L.","","Soleval Renovables, S.L.","","188","hectares","","","Therminol VP1","","50.0","50.0","","MW","","100.0","bar","","","Wet cooling","","38.7","","","","","","None","","","","This page provides information on Lebrija 1, a concentrating solar power (CSP) project, with data organized by background, participants, and power plant configuration.","","","","","Published"
"18","Ibersol Ciudad Real (Puertollano)","","ES","  ","Castilla-La Mancha","Puertollano","","38","38","36.19","North","3","58","29.6","West","Parabolic trough","Operational","2017/03/20","January","1","2010","","","","25","Market price with premium system","March","1","2007","January","1","2009","2061","Satellite/Meteorological Station","","200000000","Euro","","103000","Expected/Planned","","","","Iberdrola Renovables","solar@IberdrolaREN.com","","","","","","60","IBERCAM (Iberdrola Renovables Castilla-La Mancha )","","Iberdrola Renovables","","","","150","hectares","","","Diphenyl/Biphenyl oxide - Dowtherm A","Dow Chemical","50.0","50.0","","MW","Steam Rankine","100.0","bar","Siemens","","Wet cooling","","38.9","","","","","","None","","","","This page provides information on Ibersol Ciudad Real (Puertollano), a concentrating solar power (CSP) project, with data organized by background, participants, and power plant configuration.","","","","","Published"
"19","Archimede","","IT","  ","Sicily","Priolo Gargallo","","37","8","3.12","North","15","13","0.15","East","Parabolic trough","Operational","2012/08/03","","","","","","","","","July","21","2008","July","14","2010","1936","ENEL","","","","","9200","Expected/Planned","","ENEL","","Daniele Consoli","daniele.consoli@enel.com","","","","","","","ENEL","","ENEL","","","","8","hectares","","","Molten salt (60% NaNO?, 40% KNO?)","","5.0","4.72","The plant produces steam that is sent to the CC steam turbine, rated at 130 MW; the 4.72 MW datum is the calculated capacity added by the solar steam","MW","","93.83","bar","Tosi","","Wet cooling","","39.3","","","15.6","","","2-tank direct","8","hour(s)","Total of 1,580 tons of molten salt. 60% sodium nitrate, 40% potassium nitrate. Capacity 100 MWh (thermal). Tanks are 6.5 m high and 13.5 m in diameter.","This page provides information on Archimede, a concentrating solar power (CSP) project, with data organized by background, participants, and power plant configuration.

Archimede is a parabolic trough plant operating in Sicily, Italy. The plant produces steam (4.72-MW equivalent) sent to a combined-cycle steam turbine rated at 130 MW. This parabolic trough system is the first using molten salt as the heat-transfer fluid. A 2-tank direct system will provide 8 hours of thermal storage.","","","","","published"
"20","Nevada Solar One","NSO","US","NV","","Boulder City","Clark","35","48","","North","114","59","","West","Parabolic trough","Operational","2011/09/07","","","","","","","20","","February","","2006","June","","2007","2606","Las Vegas TMY2 Data","","266000000","USD","","134000","Expected/Planned","","Acciona Energía","http://www.acciona-energia.es","Asun Padrós","mpadros@acciona.es","","","","","350","30","Acciona Solar Power","","Acciona Solar Power","","Lauren Engineering","","400","acres","","","DOWTHERM A","Dow Chemical","75.0","72.0","","MW","","","","","","Wet cooling","","","","","","","","","0.5","hour(s)","0.5 hours full-load storage","This page provides information on Nevada Solar One, a concentrating solar power (CSP) project, with data organized by background, participants, and power plant configuration.

Acciona Energy's Nevada Solar One is the third largest CSP plant in the world and the first plant built in the United States since 1999. Located in Boulder City, Nevada, about 40 miles southeast of Las Vegas, this parabolic trough system has been operating since June 2007. The US$260 million plant has a nominal production capacity of 64 megawatts with a maximum capacity of 70 megawatts. All of the plant’s electricity, which can power more than 14,000 households annually, is being sold to Nevada Energy under a long-term power purchase agreement.","photo_nevada_solar_one.jpg","Photo of rows of parabolic troughs from a low aerial perspective. Several sections of up to 20 rows of long troughs are segmented by access roads.","","","published"
"21","Solnova 1","","ES","  ","Sanlúcar la Mayor","Sevilla","","37","26","30.97","North","6","14","59.98","West","Parabolic trough","Operational","2017/03/20","March","19","2007","Royal Decree 661/2007","27.1188","Euro cents per kWh","25","Total Price = Pool + Tariff Rate","January","1","2007","January","1","2009","2012","Abengoa Solar","Commercial plant","","Euro","","113520","Expected/Planned","Gross generation","Abengoa Solar","http://www.abengoasolar.com","Allison Lenthall","allison.lenthall@solar.abengoa.com","","","","","","","Abengoa Solar","","Abengoa Solar","","Abener Energia","","115","hectares","","","Thermal oil","","50.0","50.0","","MW","Steam Rankine","100.0","bar","","","Wet cooling","","","","","","","","None","","","","This page provides information on Solnova 1, a concentrating solar power (CSP) project, with data organized by background, participants, and power plant configuration.","","","","Abengoa Solar","Published"
"22","Solnova 3","","ES","  ","Sanlúcar la Mayor","Sevilla","","37","26","30.97","North","6","14","59.98","West","Parabolic trough","Operational","2017/03/20","March","19","2007","Royal Decree 661/2007","27.1188","Euro cents per kWh","25","Total Price = Pool + Tariff Rate","January","1","2007","January","1","2009","2012","Abengoa Solar","Commercial plant","","Euro","","113520","Expected/Planned","Gross generation","Abengoa Solar","http://www.abengoasolar.com","Allison Lenthall","allison.lenthall@solar.abengoa.com","","","","","","","Abengoa Solar","","Abengoa Solar","","Abener Energia","","115","hectares","","","Thermal oil","","50.0","50.0","","MW","Steam Rankine","100.0","bar","","","Wet cooling","","","","","","","","None","","","","This page provides information on Solnova 3, a concentrating solar power (CSP) project, with data organized by background, participants, and power plant configuration.","","","","Abengoa Solar","Published"
"23","Solana Generating Station","Solana","US","AZ","Gila Bend","Phoenix","Maricopa","32","55","0.0","North","112","58","0.0","West","Parabolic trough","Operational","2015/08/19","January","","2008","","","","30","","December","","2010","October","7","2013","","","Commercial","2","USD billion","","944000","","","Abengoa Solar","http://www.abengoasolar.com","Luis Rejano","luis.rejano@abengoa.com","","","","","1500","85","Abengoa Solar","","","","Abener-Teyma","","780","hectares","","","Therminol VP-1 --- Xceltherm MK1","Solutia --- Radco Industries","280.0","250.0","2x140 MWe gross","MW","Steam Rankine","100.0","bar","","","Wet cooling","","","","","","Natural gas","","2-tank indirect","6","hours","Molten salts","Abengoa Solar has built a 280-megawatt parabolic trough solar plant about 70 miles southwest of Phoenix, Arizona. The plant generates enough power to supply 70,000 homes under a 30-year power supply contract with Arizona Public Service (APS). The thermal energy storage system provides up to 6 hours of generating capacity after sunset.","","","","","Published"
"24","Saguaro Power Plant","","US","AZ","Southwest USA","Red Rock","Pinal County","32","32","52.0","North","111","17","34.0","West","Parabolic trough","Currently Non-Operational","2017/04/14","","","","","","","","","June","","2004","January","","2006","2636","NREL","Production","6000000","USD","","2000","Expected/Planned","","Arizona Public Service (APS)","http://www.aps.com","Phil Smithers","Phil.Smithers@aps.com","","","","","","","Arizona Public Service","","Arizona Public Service","","Solargenix","","16","acres","Parker-Hannefin","","Xceltherm 600 (solar field); n-pentane (ORC working fluid)","Radco Industries","1.16","1.0","","MW","Organic Rankine","323.0","psi","Ormat","Israel","Wet cooling","","20.7","12.1","Nominal ambient temp dry=80°F, relative humidity=30%, wet-bulb temp=60°F","7.5","None","","None","","","","This page provides information on Saguaro, a concentrating solar power (CSP) project, with data organized by background, participants, and power plant configuration.","","","","","Published"
"25","Solnova 4","","ES","  ","Sanlúcar la Mayor","Sevilla","","37","26","30.97","North","6","14","59.98","West","Parabolic trough","Operational","2017/03/20","March","19","2007","Royal Decree 661/2007","27.1188","Euro cents per kWh","25","Total Price = Pool + Tariff Rate","January","1","2008","January","1","2009","2012","Abengoa Solar","Commercial plant","","Euro","","113520","Expected/Planned","Gross generation","Abengoa Solar","http://www.abengoasolar.com","Allison Lenthall","allison.lenthall@solar.abengoa.com","","","","","","","Abengoa Solar","","Abengoa Solar","","Abener Energia","","115","hectares","","","Thermal oil","","50.0","50.0","","MW","Steam Rankine","100.0","bar","","","Wet cooling","","","","","","","","None","","","","This page provides information on Solnova 4, a concentrating solar power (CSP) project, with data organized by background, participants, and power plant configuration.","","","","Abengoa Solar","Published"
"26","La Dehesa","","ES","  ","Badajoz","La Garrovilla","","38","57","6.14","North","6","27","48.36","West","Parabolic trough","Operational","2017/03/20","","","","","","","","RD661/07, POOL+premium option","July","","2008","February","","2011","","La Dehesa Weather Station","","","Euro","","175000","Estimated","","Renovables SAMCA","","Javier del Pico","jdelpico@samca.com","","","Carlos Tierra","ctierra@samca.com","950","45","Renovables SAMCA","","Renovables SAMCA","","Not applicable (several contractors)","","200","hectares","","","Diphenyl/Biphenyl oxide","","49.9","49.9","","MW","Steam Rankine","100.0","bar","Siemens","Sweden","Wet cooling","","38.13","","","13.81","","","2-tank indirect","7.5","hour(s)","29,000 tons of molten salt. 60% sodium nitrate, 40% potassium nitrate.","This page provides information on La Dehesa, a concentrating solar power (CSP) project, with data organized by background, participants, and power plant configuration.","","","","","Published"
"27","La Florida","","ES","  ","Badajoz","Badajoz","","38","49","1.11","North","6","49","45.49","West","Parabolic trough","Operational","2017/03/20","January","1","2010","","","","","RD661/07, POOL+premium option","July","1","2008","June","1","2010","","La Florida Weather Station","","","Euro","","175000","Estimated","","Renovables SAMCA","","Javier del Pico","jdelpico@samca.com","","","Carlos Tierra","ctierra@samca.com","950","45","Renovables SAMCA","","Renovables SAMCA","","Not applicable (several contractors)","","200","hectares","","","Diphenyl/Diphenyl oxide","Dow Chemical","50.0","50.0","","MW","Steam Rankine","100.0","bar","Siemens","Sweden","Wet cooling","","38.13","","","13.81","","","2-tank indirect","7.5","hour(s)","29,000 tons of molten salt. 60% sodium nitrate, 40% potassium nitrate.","This page provides information on La Florida, a concentrating solar power (CSP) project, with data organized by background, participants, and power plant configuration.","","","","","Published"
"28","Solar Electric Generating Station++1++ I","SEGS I","US","CA","Mojave Desert","Daggett","San Bernardino","34","51","47.0","North","116","49","37.0","West","Parabolic trough","Currently Non-Operational","2017/04/14","","","","","","","","","","","","December","20","1984","2725","National Solar Resource Data Base","PURPA Qualifying Facility Independent Power Producer, with special Standard Offer 2 (SO-2) type power purchase agreement to Southern California Edison","","","","","","","Cogentrix","","Phillip Jones","PhilJones@cogentrix.com","","","","","","","Luz","","Cogentrix","","","","","","","","","","13.8","13.8","","MW","","40.0","bar","","","","","31.5","","","","None","","2-tank direct","3","hour(s)","Storage system was damaged by fire in 1999 and was not replaced","This page provides information on Solar Electric Generating Station I, a concentrating solar power (CSP) project, with data organized by background, participants, and power plant configuration.

SEGS I is one of the nine Solar Electric Generating Station plants in California’s Mojave Desert. The combined electric generating capacity of these plants, which use parabolic trough technology, is more than 350 megawatts. The plants operate as Qualifying Facility Independent Power Producers under the Public Utility Regulatory Policies Act, with a special Standard Offer 2 type of power purchase agreement to Southern California Edison. Initially, the entire plant had three hours of thermal energy storage for dispatching electricity during periods of peak demand. However, a fire in 1999 damaged the storage system and it was not replaced.","photo_segs_1.jpg","Photo with a high aerial perspective of hundreds of rows of parabolic troughs, with separate sections offset slightly from one another. A main power plant is shown in the middle of the field of troughs. Agricultural fields in the background show circular irrigation patterns.","","","Published"
"29","Solar Electric Generating Station++2++ II","SEGS II","US","CA","Mojave Desert","Daggett","San Bernardino","34","51","47.0","North","116","49","37.0","West","Parabolic trough","Currently Non-Operational","2017/11/07","","","","","","","","","","","","","","1985","2725","National Solar Resource Data Base","PURPA Qualifying Facility Independent Power Producer, with special Standard Offer 2 (SO-2) type power purchase agreement to Southern California Edison","","","","","","","Cogentrix","","Phillip Jones","PhilJones@cogentrix.com","","","","","","","Luz","","Cogentrix","","","","","","","","","","33.0","30.0","","MW","","40.0","bar","","","","","29.4","","","","Natural gas","","","","","","This page provides information on Solar Electric Generating Station II, a concentrating solar power (CSP) project, with data organized by background, participants, and power plant configuration.

SEGS II is one of the nine Solar Electric Generating Station plants in California’s Mojave Desert. The combined electric generating capacity of these plants, which use parabolic trough technology, is more than 350 megawatts. The plants operate as Qualifying Facility Independent Power Producers under the Public Utility Regulatory Policies Act, with a special Standard Offer 2 type of power purchase agreement to Southern California Edison.","photo_segs_2.jpg","Photo with an aerial perspective looking perpendicular to numerous rows of parabolic troughs. In the far distance is the silhouette of mountains.","","","Published"
"30","Solar Electric Generating Station++3++ III","SEGS III","US","CA","Mojave Desert","Kramer Junction","San Bernardino","35","0","51.0","North","117","33","32.0","West","Parabolic trough","Operational","2015/10/01","","","","","","","","","","","","December","31","1985","2725","National Solar Resource Data Base","PURPA Qualifying Facility Independent Power Producer, with special Standard Offer 2 (SO-2) type power purchase agreement to Southern California Edison","","","","","","","NextEra Energy","","Lauren Romero","Lauren.Romero@nee.com","","","","","","","Luz","","NextEra","","","","","","","","Therminol","","33.0","30.0","","MW","","40.0","bar","","","","","30.6","","","","Natural gas","","","","","","This page provides information on Solar Electric Generating Station III, a concentrating solar power (CSP) project, with data organized by background, participants, and power plant configuration.

SEGS III is one of the nine Solar Electric Generating Station plants in California’s Mojave Desert. The combined electric generating capacity of these plants, which use parabolic trough technology, is more than 350 megawatts. The plants operate as Qualifying Facility Independent Power Producers under the Public Utility Regulatory Policies Act, with a special Standard Offer 2 type of power purchase agreement to Southern California Edison.","photo_segs_3_11070.jpg","Photo with low aerial perspective of parabolic troughs focusing on the sun at a high angle overhead. The tubes making up the heat-collection element along the focal line of each trough are prominent. Two men wearing hard hats are standing near the edge of one trough, with the edge just above the height of their heads.","","","published"
